Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,1029.160034,1039.829956,1022.330017,1033.130005,1033.130005,2340200
2017-10-31,1033.000000,1041.000000,1026.300049,1033.040039,1033.040039,1516300
2017-11-01,1036.319946,1047.859985,1034.000000,1042.599976,1042.599976,2163100
2017-11-02,1039.989990,1045.520020,1028.660034,1042.969971,1042.969971,1334700
2017-11-03,1042.750000,1050.660034,1037.650024,1049.989990,1049.989990,1388500
2017-11-06,1049.099976,1052.589966,1042.000000,1042.680054,1042.680054,914700
2017-11-07,1049.650024,1053.410034,1043.000000,1052.390015,1052.390015,1305200
2017-11-08,1050.050049,1062.689941,1047.050049,1058.290039,1058.290039,1213800
2017-11-09,1048.000000,1050.880005,1035.849976,1047.719971,1047.719971,1794600
2017-11-10,1043.869995,1046.630005,1041.219971,1044.150024,1044.150024,972100
2017-11-13,1040.800049,1048.739990,1039.260010,1041.199951,1041.199951,940700
2017-11-14,1037.719971,1042.300049,1029.329956,1041.640015,1041.640015,1050600
2017-11-15,1035.000000,1039.630005,1030.760010,1036.410034,1036.410034,905300
2017-11-16,1038.750000,1051.760010,1038.000000,1048.469971,1048.469971,1188400
2017-11-17,1049.800049,1051.000000,1033.729980,1035.890015,1035.890015,1335600
2017-11-20,1036.000000,1038.699951,1032.680054,1034.660034,1034.660034,876300
2017-11-21,1040.040039,1050.390015,1039.140015,1050.300049,1050.300049,1110300
2017-11-22,1051.160034,1055.430054,1047.250000,1051.920044,1051.920044,726900
2017-11-24,1054.390015,1060.069946,1051.920044,1056.520020,1056.520020,824600
2017-11-27,1058.569946,1073.040039,1054.770020,1072.010010,1072.010010,1715100
2017-11-28,1073.989990,1080.000000,1054.540039,1060.569946,1060.569946,1165387
