Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,34.130001,34.380001,33.820000,34.040001,34.040001,18345100
2017-10-31,33.980000,34.240002,33.959999,34.150002,34.150002,13935100
2017-11-01,34.290001,34.750000,34.279999,34.619999,34.619999,22051300
2017-11-02,34.549999,34.639999,34.160000,34.209999,34.209999,19827600
2017-11-03,34.279999,34.490002,34.029999,34.470001,34.470001,13414400
2017-11-06,34.369999,34.560001,34.259998,34.410000,34.410000,12786900
2017-11-07,34.320000,34.480000,34.209999,34.400002,34.400002,11332900
2017-11-08,34.310001,34.500000,34.119999,34.500000,34.500000,13061300
2017-11-09,34.290001,34.320000,33.869999,34.049999,34.049999,16785000
2017-11-10,34.060001,34.090000,33.669998,33.990002,33.990002,19319400
2017-11-13,33.860001,34.209999,33.830002,33.950001,33.950001,16441500
2017-11-14,33.860001,34.160000,33.799999,34.040001,34.040001,17468500
2017-11-15,33.970001,34.310001,33.750000,34.110001,34.110001,30829600
2017-11-16,36.040001,36.669998,35.830002,35.880001,35.880001,61177100
2017-11-17,35.900002,36.320000,35.810001,35.900002,35.900002,27988000
2017-11-20,35.930000,36.540001,35.930000,36.500000,36.500000,26897800
2017-11-21,36.750000,36.970001,36.580002,36.650002,36.650002,24146400
2017-11-22,36.700001,36.720001,36.360001,36.450001,36.450001,17226400
2017-11-24,36.410000,36.570000,36.320000,36.490002,36.490002,6155800
2017-11-27,36.509998,37.090000,36.500000,36.869999,36.869999,20736000
2017-11-28,37.000000,37.799999,36.980000,37.610001,37.610001,15056512
