Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,83.699997,84.330002,83.110001,83.889999,83.470802,31756700
2017-10-31,84.360001,84.360001,83.110001,83.180000,82.764351,27086600
2017-11-01,83.680000,83.760002,82.879997,83.180000,82.764351,22307400
2017-11-02,83.349998,84.459999,83.120003,84.050003,83.630005,23992900
2017-11-03,84.080002,84.540001,83.400002,84.139999,83.719551,17633500
2017-11-06,84.199997,84.699997,84.080002,84.470001,84.047905,19860900
2017-11-07,84.769997,84.900002,83.930000,84.269997,83.848900,17939700
2017-11-08,84.139999,84.610001,83.830002,84.559998,84.137451,18034200
2017-11-09,84.110001,84.269997,82.900002,84.089996,83.669800,21178400
2017-11-10,83.790001,84.099998,83.230003,83.870003,83.450905,19397800
2017-11-13,83.660004,83.940002,83.459999,83.930000,83.510597,14196900
2017-11-14,83.500000,84.099998,82.980003,84.050003,83.630005,18801300
2017-11-15,83.470001,83.690002,82.690002,82.980003,82.980003,19383100
2017-11-16,83.099998,83.419998,82.940002,83.199997,83.199997,20962800
2017-11-17,83.120003,83.120003,82.239998,82.400002,82.400002,22079000
2017-11-20,82.400002,82.589996,82.250000,82.529999,82.529999,16315000
2017-11-21,82.739998,83.839996,82.739998,83.720001,83.720001,21237500
2017-11-22,83.830002,83.900002,83.040001,83.110001,83.110001,20553100
2017-11-24,83.010002,83.430000,82.779999,83.260002,83.260002,7425600
2017-11-27,83.309998,83.980003,83.300003,83.870003,83.870003,17676300
2017-11-28,84.070000,85.059998,84.019997,84.790001,84.790001,12927566
